[ T - C r o s s ]
    title = energy spectrum
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin = -0.3000000      # minimum value of x-mesh points
     xmax =  0.3000000      # maximum value of x-mesh points
#    xdel =  0.6000000      # mesh width of x-mesh points
       nx =    1            # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -3.00000E-01  3.00000E-01
   y-type =    1            # y-mesh is given by the below data
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
           -3.00000E+01 -1.00000E+01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin = -0.3000000      # minimum value of z-mesh points
     zmax =  0.3000000      # maximum value of z-mesh points
#    zdel =  0.6000000      # mesh width of z-mesh points
       nz =    1            # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -3.00000E-01  3.00000E-01
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =   0.000000      # minimum value of e-mesh points
     emax =   7.000000      # maximum value of e-mesh points
#    edel =  0.1000000      # mesh width of e-mesh points
       ne =   70            # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           0.00000E+00  1.00000E-01  2.00000E-01  3.00000E-01  4.00000E-01
#           5.00000E-01  6.00000E-01  7.00000E-01  8.00000E-01  9.00000E-01
#           1.00000E+00  1.10000E+00  1.20000E+00  1.30000E+00  1.40000E+00
#           1.50000E+00  1.60000E+00  1.70000E+00  1.80000E+00  1.90000E+00
#           2.00000E+00  2.10000E+00  2.20000E+00  2.30000E+00  2.40000E+00
#           2.50000E+00  2.60000E+00  2.70000E+00  2.80000E+00  2.90000E+00
#           3.00000E+00  3.10000E+00  3.20000E+00  3.30000E+00  3.40000E+00
#           3.50000E+00  3.60000E+00  3.70000E+00  3.80000E+00  3.90000E+00
#           4.00000E+00  4.10000E+00  4.20000E+00  4.30000E+00  4.40000E+00
#           4.50000E+00  4.60000E+00  4.70000E+00  4.80000E+00  4.90000E+00
#           5.00000E+00  5.10000E+00  5.20000E+00  5.30000E+00  5.40000E+00
#           5.50000E+00  5.60000E+00  5.70000E+00  5.80000E+00  5.90000E+00
#           6.00000E+00  6.10000E+00  6.20000E+00  6.30000E+00  6.40000E+00
#           6.50000E+00  6.60000E+00  6.70000E+00  6.80000E+00  6.90000E+00
#           7.00000E+00
     unit =    2            # unit is [1/cm^2/MeV/source]
     axis =  eng            # axis of output
     file = cross_eng-w.out  # file name of output for the above axis
   output = flux            # surface crossing flux
     part =  photon     electron 
# kf/name :  22         11       
    angel = ylin
   epsout =    1            # (D=0) generate eps file by ANGEL
   stdcut = 1.0000000E-02   # (D=-1) threshold value of STD cutoff
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          81 (  0)           0 (  0)          81 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   iz surf =  1   ix  =  1   iy  =  1
#   zmesh =   -3.0000E-01
#   x = (  -3.0000E-01  -   3.0000E-01  )
#   y = (  -3.0000E+01  -  -1.0000E+01  )

x: Energy [MeV]
y:   Flux  [1/cm^2/MeV/source]             
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y(photon  ),hh0l   n y(electron),hh0dr  n 
#  e-lower      e-upper      photon      r.err    electron    r.err 
#------------------------------------------------------------------------------
 newpage:
#   no. =  2   iz surf =  2   ix  =  1   iy  =  1
#   zmesh =    3.0000E-01
#   x = (  -3.0000E-01  -   3.0000E-01  )
#   y = (  -3.0000E+01  -  -1.0000E+01  )

x: Energy [MeV]
y:   Flux  [1/cm^2/MeV/source]             
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y(photon  ),hh0l   n y(electron),hh0dr  n 
#  e-lower      e-upper      photon      r.err    electron    r.err 
   0.0000E+00   1.0000E-01   1.1812E-03  0.0137   2.1802E-07  0.2037
   1.0000E-01   2.0000E-01   7.7302E-03  0.0044   8.9756E-06  0.0315
   2.0000E-01   3.0000E-01   1.6662E-02  0.0029   6.2504E-06  0.0314
   3.0000E-01   4.0000E-01   1.7013E-02  0.0030   4.6159E-06  0.0475
   4.0000E-01   5.0000E-01   1.4623E-02  0.0030   3.4006E-06  0.0395
   5.0000E-01   6.0000E-01   1.3433E-02  0.0035   3.6951E-06  0.1310
   6.0000E-01   7.0000E-01   1.1256E-02  0.0039   2.6424E-06  0.0728
   7.0000E-01   8.0000E-01   9.9649E-03  0.0036   1.9560E-06  0.0719
   8.0000E-01   9.0000E-01   9.3594E-03  0.0037   2.0900E-06  0.0875
   9.0000E-01   1.0000E+00   7.9163E-03  0.0050   2.0073E-06  0.2238
   1.0000E+00   1.1000E+00   7.0843E-03  0.0049   1.6413E-06  0.0864
   1.1000E+00   1.2000E+00   6.4935E-03  0.0048   1.5149E-06  0.0950
   1.2000E+00   1.3000E+00   5.9607E-03  0.0046   2.0040E-06  0.2313
   1.3000E+00   1.4000E+00   5.6183E-03  0.0058   1.2571E-06  0.1304
   1.4000E+00   1.5000E+00   5.0817E-03  0.0058   1.1921E-06  0.0883
   1.5000E+00   1.6000E+00   4.8721E-03  0.0068   1.0113E-06  0.1788
   1.6000E+00   1.7000E+00   4.3662E-03  0.0066   9.5883E-07  0.1613
   1.7000E+00   1.8000E+00   4.0907E-03  0.0058   7.2643E-07  0.1241
   1.8000E+00   1.9000E+00   3.8604E-03  0.0060   7.7619E-07  0.1630
   1.9000E+00   2.0000E+00   3.4801E-03  0.0070   6.3298E-07  0.1565
   2.0000E+00   2.1000E+00   3.2425E-03  0.0069   5.8385E-07  0.1503
   2.1000E+00   2.2000E+00   3.1209E-03  0.0064   1.3427E-06  0.3513
   2.2000E+00   2.3000E+00   2.8549E-03  0.0074   9.2663E-07  0.1918
   2.3000E+00   2.4000E+00   2.7978E-03  0.0067   4.2784E-07  0.1421
   2.4000E+00   2.5000E+00   2.6212E-03  0.0097   7.2819E-07  0.2180
   2.5000E+00   2.6000E+00   2.4755E-03  0.0087   5.3994E-07  0.1433
   2.6000E+00   2.7000E+00   2.3574E-03  0.0099   3.2779E-07  0.2480
   2.7000E+00   2.8000E+00   2.1745E-03  0.0100   6.0632E-07  0.2213
   2.8000E+00   2.9000E+00   1.9361E-03  0.0087   4.0929E-07  0.2234
   2.9000E+00   3.0000E+00   1.8806E-03  0.0092   3.0952E-07  0.2296
   3.0000E+00   3.1000E+00   1.8518E-03  0.0099   6.0636E-07  0.2439
   3.1000E+00   3.2000E+00   1.9066E-03  0.0092   3.0446E-07  0.2513
   3.2000E+00   3.3000E+00   1.6222E-03  0.0093   4.4115E-07  0.4130
   3.3000E+00   3.4000E+00   1.6901E-03  0.0105   2.8910E-07  0.2540
   3.4000E+00   3.5000E+00   1.4779E-03  0.0105   4.2927E-07  0.3038
   3.5000E+00   3.6000E+00   1.2169E-03  0.0099   2.2405E-07  0.2727
   3.6000E+00   3.7000E+00   1.2210E-03  0.0138   2.0658E-07  0.3163
   3.7000E+00   3.8000E+00   1.2540E-03  0.0112   4.3426E-07  0.3404
   3.8000E+00   3.9000E+00   1.2042E-03  0.0117   2.4978E-07  0.3475
   3.9000E+00   4.0000E+00   1.2832E-03  0.0114   1.1450E-07  0.4676
   4.0000E+00   4.1000E+00   1.2055E-03  0.0114   2.2203E-07  0.4434
   4.1000E+00   4.2000E+00   1.0741E-03  0.0148   1.3440E-07  0.3744
   4.2000E+00   4.3000E+00   1.0614E-03  0.0125   2.3617E-07  0.4005
   4.3000E+00   4.4000E+00   9.1789E-04  0.0159   2.3318E-07  0.4529
   4.4000E+00   4.5000E+00   9.3236E-04  0.0128   1.6957E-07  0.2589
   4.5000E+00   4.6000E+00   8.3896E-04  0.0149   8.5345E-08  0.5626
   4.6000E+00   4.7000E+00   8.3506E-04  0.0142   1.3861E-07  0.5582
   4.7000E+00   4.8000E+00   8.3635E-04  0.0154   6.4844E-08  0.3539
   4.8000E+00   4.9000E+00   7.1161E-04  0.0155   2.4100E-07  0.6679
   4.9000E+00   5.0000E+00   7.4223E-04  0.0171   1.3767E-07  0.3473
   5.0000E+00   5.1000E+00   6.4069E-04  0.0153   6.5469E-08  0.7630
   5.1000E+00   5.2000E+00   6.6391E-04  0.0143   1.6284E-07  0.4478
   5.2000E+00   5.3000E+00   5.3286E-04  0.0190   3.8860E-08  0.7013
   5.3000E+00   5.4000E+00   5.6375E-04  0.0180   1.8173E-08  0.7062
   5.4000E+00   5.5000E+00   5.3344E-04  0.0179   1.4443E-07  0.4059
   5.5000E+00   5.6000E+00   4.9070E-04  0.0199   3.7057E-08  1.0000
   5.6000E+00   5.7000E+00   4.9778E-04  0.0214   5.3306E-08  0.5833
   5.7000E+00   5.8000E+00   4.8063E-04  0.0220   9.1303E-08  0.4842
   5.8000E+00   5.9000E+00   3.9089E-04  0.0195   7.2707E-08  0.5785
   5.9000E+00   6.0000E+00   3.7951E-04  0.0207   1.7848E-07  0.5759
